,Enregy,Sample,Fit,component: 20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0001,component: 20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0050
215,29208.4351331301,1.0772144235032588,1.0738937237426605,0.08976610419913093,0.9841276195435295
216,29208.7495806939,1.0705343495823199,1.0696830189608584,0.08957470325056038,0.980108315710298
217,29208.9592161878,1.0630655171790515,1.0655907242694593,0.0893595330225279,0.9762311912469315
218,29209.221264813,1.0591209073272587,1.0623822703200956,0.08885340343394275,0.9735288668861529
219,29209.4833181693,1.0558453337730307,1.0545931600755318,0.08858137383011715,0.9660117862454146
220,29209.7453762567,1.0525925169450292,1.050937653919156,0.08800460333117735,0.9629330505879785
221,29209.9550261333,1.0469022183695038,1.0500782339764165,0.08743200768837676,0.9626462262880399
222,29210.2170927372,1.0427809422568146,1.0414270482137398,0.08663398496771844,0.9547930632460214
223,29210.4791640727,1.041339575049422,1.0370781256605295,0.08549247205190907,0.9515856536086204
224,29210.7412401399,1.0348054770476793,1.034719573158095,0.08452855944450978,0.9501910137135852
225,29211.0033209388,1.0295508455031552,1.0280913581021953,0.08349368892772994,0.9445976691744653
226,29211.2654064697,1.02406489872304,1.0233371148820036,0.0821546902996932,0.9411824245823104
227,29211.5274967327,1.0229458697236098,1.0205601880071569,0.08127209405363002,0.9392880939535269
228,29211.7371723502,1.0204669731372538,1.0184851921022997,0.08025153108736673,0.938233661014933
229,29211.9992711312,1.0176988306975232,1.0144417425205847,0.0793751830572228,0.9350665594633618
230,29212.2613746447,1.0139190437754362,1.0115000529539695,0.07812956981606145,0.9333704831379079
231,29212.5234828906,1.0087357231977014,1.0094854395944088,0.07699472500357275,0.9324907145908361
232,29212.7331728949,1.0038336604298768,1.0096341477169317,0.0761252615674202,0.9335088861495116
233,29212.9952896598,1.0044548165480398,1.0076187456697017,0.07516952149079521,0.9324492241789065
234,29213.3098360251,1.002111277603801,1.0014352716206127,0.07360702006732008,0.9278282515532927
235,29213.5195373884,0.9966822489823599,1.0002597446976973,0.07279950906728043,0.9274602356304168
236,29213.7816683524,0.9970611303087409,0.9973520401738156,0.07170536082981072,0.9256466793440049
237,29214.0438040497,0.9949096595388992,0.9957318647243493,0.0708400228733863,0.924891841850963
238,29214.3059444803,0.9922013064510561,0.9942924687251056,0.06996111774517211,0.9243313509799335
239,29214.515660233,0.9903771411405136,0.9919544603218614,0.06943196288600607,0.9225224974358553
240,29214.7778091842,0.9889869342034995,0.9915108501702147,0.0686389711354465,0.9228718790347682
241,29215.0399628692,0.9863810667006193,0.9890581382196796,0.06778196207843946,0.9212761761412401
242,29215.2496892255,0.9879430194270927,0.9864197338712374,0.06693829615109148,0.9194814377201459
243,29215.5118514316,0.9851722216176493,0.9853547836588131,0.06612941083503801,0.9192253728237751
244,29215.7740183718,0.9835290008218197,0.9834337252344383,0.06555520071707131,0.917878524517367
245,29216.0361900462,0.982692932917862,0.9814108289727346,0.06505338807402462,0.91635744089871
246,29216.2983664551,0.9815878881535279,0.9811130715951,0.06439465617663764,0.9167184154184623
247,29216.508110991,0.978257994553885,0.9817639793770137,0.06410019745977376,0.9176637819172399
248,29216.7702959221,0.9797481144586327,0.9814329572824194,0.0636590955602982,0.9177738617221212
249,29217.0324855879,0.97745264092574,0.9800817112711961,0.06320655115413065,0.9168751601170655
250,29217.2946799886,0.9743868180732056,0.978133042484958,0.06270720475786404,0.915425837727094
251,29217.5568791243,0.9761560322173016,0.9789089183148578,0.062213444808419845,0.916695473506438
252,29217.7666418422,0.9750927562456853,0.9781991824202887,0.06181501500749714,0.9163841674127916
